iterationName	gameid	serverTime	condition	trialNum	instructionNum	targetObject	attemptNum	trialType	objectSet	critical	sender	contents	typingRT	eventType
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793296859	scripted	1	0	basketball	0	exp	5	false	director	move basketball down to the square under it	19813	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793326289	scripted	1	1	roundBrush	0	exp	5	true	director	move the brush one space to the left	49244	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793369046	scripted	1	1	roundBrush	1	exp	5	true	director	move the brush one space to the left~~~	10592	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793398593	scripted	1	2	headphones	0	exp	5	false	director	move the headphones one space to the left	10670	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793411257	scripted	1	3	book	0	exp	5	false	director	move the book one space to the right	23334	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793423262	scripted	2	0	magnet	0	base	7	false	director	move the magnet down by one space	35339	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793447923	scripted	2	1	handcuffs	0	base	7	false	director	move the handcuffs one space down	10361	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793472843	scripted	2	2	pandaToy	0	base	7	false	director	move the panda bear one space down	12012	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793499786	scripted	2	3	mediumCandle	0	base	7	true	director	move the small candle down by one space	38956	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793509952	scripted	3	0	carrot	0	base	4	false	director	move the carrot up one space	49120	chatMessage
planned_sample	7760-b35ea0ce-179c-4d5b-bd79-8505dfafcdf9	1522793519997	scripted	3	1	mediumMeasuringCup	0	base	4	true	director	move the large measuring cup down one space	59160	chatMessage
