iterationName	gameid	serverTime	condition	trialNum	instructionNum	targetObject	attemptNum	trialType	objectSet	critical	sender	contents	typingRT	eventType
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522822734337	unscripted	1	0	scissors	0	exp	3	false	director	Move the scissors towards the space between the cassette and the knife~~~ 	27630	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522822782353	unscripted	1	0	scissors	1	exp	3	false	director	Move the scissors halfway towards the space between the cassette and the knife~~~ 	20038	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522822812210	unscripted	1	1	knife	0	exp	3	false	director	Move the knife directly downward~~~ 	7994	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522822841823	unscripted	1	2	barOfSoap	0	exp	3	false	director	Move the soap to be directly above the knife~~~	15254	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522822871446	unscripted	1	3	cassetteTape	0	exp	3	true	director	Move the cassette to be directly above the soap~~~	9756	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522822934835	unscripted	2	0	magnet	0	base	7	false	director	Move the magnet away from the red candle and panda to be next to the yellowish candle~~~	40054	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522823047908	unscripted	2	1	handcuffs	0	base	7	false	director	Move the handcuffs one square closer to the yellowish candle, while keeping it in the same column~~~	78398	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522823096609	unscripted	2	2	pandaToy	0	base	7	false	director	Move the panda 1/3 of the way towards the yellowish candle~~~	27129	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522823206939	unscripted	2	3	mediumCandle	0	base	7	true	director	Move the red candle down one square~~~	58293	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522823243287	unscripted	3	0	airplane	0	exp	1	false	director	Move the airplane one square closer to the barrel, keeping it in the top row~~~	20329	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522823295506	unscripted	3	1	sunGlasses	0	exp	1	true	director	Move the sunglasses to be under the barrel, but in the same row as the saxophone~~~ 	38854	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522823327589	unscripted	3	2	barrel	0	exp	1	false	director	Move the barrel to be directly above the sunglasses~~~	18065	chatMessage
planned_sample	8142-50c87ccb-b2b3-412f-80bf-02fba2d4acee	1522823381695	unscripted	3	2	barrel	1	exp	1	false	director	Move the barrel down so that it is above the sunglasses~~~ Do not move the sunglasses~~~	26818	chatMessage
