iterationName	gameid	serverTime	condition	trialNum	instructionNum	targetObject	attemptNum	trialType	objectSet	critical	correct	attemptedObject	intendedX	intendedY	attemptedX	attemptedY	responseTime	eventType
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792489212	unscripted	1	0	basketball	0	exp	5	false	correct	basketball	3	2	3	2	7229	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792534963	unscripted	1	1	roundBrush	0	exp	5	true	correct	roundBrush	2	4	2	4	10319	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792581043	unscripted	1	2	headphones	0	exp	5	false	correct	headphones	3	3	3	3	8887	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792611890	unscripted	1	2	book	1	exp	5	false	incorrect	dalmatian	3	1	1	0	1128	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792657090	unscripted	1	3	book	0	exp	5	false	correct	book	3	1	3	1	4857	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792684170	unscripted	2	0	magnet	0	base	7	false	correct	magnet	2	4	2	4	3824	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792709747	unscripted	2	1	handcuffs	0	base	7	false	correct	handcuffs	4	3	4	3	3535	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792729620	unscripted	2	2	pandaToy	0	base	7	false	correct	pandaToy	3	2	3	2	2496	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792757202	unscripted	2	3	mediumCandle	0	base	7	true	correct	mediumCandle	1	2	1	2	2633	drop
planned_sample	9337-02513d8c-6993-461d-ab39-7abc545c960c	1522792784594	unscripted	3	0	comb	0	base	8	false	correct	comb	1	1	1	1	7264	drop
