iterationName	gameid	trialNum	serverTime	context	occlusions	numObjsOccluded	numDistractors	names	gridXs	gridYs	intendedName	clickedName	correct	condition	responseRT	eventType
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	1	1522368681878	far	none	0	3	[wavy_green_square,spotted_green_square,striped_blue_square,spotted_green_triangle]	[1,3,2,3]	[1,1,1,3]	spotted_green_triangle	spotted_green_triangle	true	within	13820	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	2	1522368702018	far	none	0	3	[checked_blue_star,wavy_red_triangle,spotted_green_circle,spotted_green_square]	[1,3,1,3]	[1,2,3,1]	spotted_green_square	spotted_green_square	true	within	4223	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	3	1522368743909	close	none	0	2	[checked_blue_star,wavy_black_square,checked_black_star]	[3,1,1]	[2,2,3]	checked_black_star	checked_black_star	true	within	22539	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	4	1522368765993	far	irrelevant	1	2	[striped_black_triangle,checked_red_triangle,spotted_black_star]	[1,1,2]	[1,2,1]	spotted_black_star	spotted_black_star	true	within	10331	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	5	1522368785697	close	none	0	3	[striped_black_triangle,wavy_green_star,wavy_black_square,spotted_green_star]	[1,2,1,3]	[1,1,2,1]	spotted_green_star	spotted_green_star	true	within	6868	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	6	1522368810044	close	irrelevant	1	2	[spotted_black_star,striped_black_triangle,striped_green_star]	[1,2,1]	[2,1,3]	striped_green_star	striped_green_star	true	within	7805	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	7	1522368856141	close	irrelevant	1	2	[striped_green_star,wavy_green_triangle,wavy_red_triangle]	[1,1,3]	[1,2,2]	wavy_red_triangle	striped_green_star	false	within	21775	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	8	1522368872299	far	irrelevant	1	3	[spotted_black_triangle,spotted_green_triangle,spotted_green_circle,spotted_red_square]	[3,1,1,3]	[1,1,2,2]	spotted_red_square	spotted_red_square	true	within	7050	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	9	1522368903307	far	none	0	2	[wavy_black_triangle,wavy_black_circle,checked_black_star]	[1,2,3]	[3,3,3]	checked_black_star	checked_black_star	true	within	16829	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	10	1522368934758	far	none	0	3	[checked_blue_square,wavy_green_square,wavy_green_triangle,checked_green_circle]	[2,3,1,1]	[3,3,2,3]	checked_green_circle	checked_green_circle	true	within	10767	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	11	1522368964380	close	none	0	3	[spotted_green_square,spotted_black_star,striped_blue_triangle,checked_blue_square]	[1,1,3,3]	[2,3,2,1]	checked_blue_square	checked_blue_square	true	within	8832	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	12	1522368979540	far	irrelevant	1	2	[striped_green_square,spotted_blue_triangle,spotted_black_circle]	[2,3,1]	[3,3,1]	spotted_black_circle	spotted_black_circle	true	within	5897	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	13	1522369009899	far	irrelevant	1	4	[wavy_green_star,striped_red_triangle,spotted_black_circle,spotted_red_star,wavy_blue_square]	[1,3,2,1,1]	[2,2,3,1,3]	wavy_blue_square	wavy_blue_square	true	within	16374	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	14	1522369039727	close	none	0	4	[wavy_black_star,spotted_red_triangle,checked_green_star,checked_green_circle,checked_blue_circle]	[1,2,3,2,1]	[1,1,1,3,3]	checked_blue_circle	checked_blue_circle	true	within	14087	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	15	1522369091046	close	irrelevant	1	2	[spotted_red_circle,checked_black_square,checked_black_circle]	[3,3,1]	[2,3,1]	checked_black_circle	checked_black_circle	true	within	12280	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	16	1522369124316	close	irrelevant	1	3	[striped_green_triangle,checked_blue_square,spotted_red_circle,striped_blue_square]	[3,3,3,2]	[2,3,1,1]	striped_blue_square	striped_blue_square	true	within	10263	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	17	1522369150818	close	irrelevant	2	3	[spotted_red_circle,spotted_green_triangle,wavy_blue_square,striped_blue_square]	[3,2,2,1]	[1,1,3,1]	striped_blue_square	striped_blue_square	true	within	12651	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	18	1522369172756	far	none	0	4	[wavy_blue_circle,striped_red_triangle,wavy_blue_triangle,checked_green_star,checked_blue_square]	[1,3,3,2,1]	[1,3,1,1,3]	checked_blue_square	checked_blue_square	true	within	6781	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	19	1522369200026	close	none	0	4	[striped_green_star,checked_blue_square,striped_blue_circle,spotted_red_square,checked_red_circle]	[3,3,1,1,3]	[1,3,2,1,2]	checked_red_circle	checked_red_circle	true	within	6118	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	20	1522369232990	far	irrelevant	1	3	[spotted_red_triangle,wavy_red_square,striped_red_circle,wavy_red_star]	[1,2,1,3]	[1,3,2,2]	wavy_red_star	wavy_red_star	true	within	6817	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	21	1522369251994	close	none	0	2	[wavy_green_star,striped_green_square,striped_black_star]	[3,1,2]	[2,3,3]	striped_black_star	striped_black_star	true	within	6779	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	22	1522369272696	far	none	0	4	[checked_red_triangle,spotted_blue_triangle,striped_red_triangle,checked_green_triangle,checked_red_circle]	[1,2,2,1,3]	[1,1,3,3,1]	checked_red_circle	checked_red_circle	true	within	7630	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	23	1522369298031	far	irrelevant	1	3	[striped_blue_star,spotted_red_circle,checked_green_circle,striped_green_square]	[1,2,1,3]	[2,1,1,1]	striped_green_square	striped_green_square	true	within	8148	clickedObj
planned_sample	8621-a5ab85e7-22b3-468e-acfb-548a26e2387d	24	1522369352257	close	irrelevant	2	3	[checked_green_star,wavy_blue_square,wavy_blue_circle,checked_red_star]	[3,1,3,2]	[2,3,1,3]	checked_red_star	checked_red_star	true	within	39628	clickedObj
