iterationName	gameid	serverTime	condition	trialNum	instructionNum	targetObject	attemptNum	trialType	objectSet	critical	correct	attemptedObject	intendedX	intendedY	attemptedX	attemptedY	responseTime	eventType
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522788996160	scripted	1	0	comb	0	base	8	false	correct	comb	1	1	1	1	3807	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789021687	scripted	1	1	computerMouse	0	base	8	true	correct	computerMouse	4	2	4	2	3402	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789053570	scripted	1	2	castIronPan	0	base	8	false	correct	castIronPan	3	3	3	3	3514	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789082926	scripted	1	3	piano	0	base	8	false	correct	piano	1	4	1	4	3056	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789115346	scripted	2	0	airplane	0	exp	1	false	correct	airplane	3	1	3	1	3952	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789129820	scripted	2	1	sunGlasses	0	exp	1	true	correct	sunGlasses	4	4	4	4	3711	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789149645	scripted	2	2	barrel	0	exp	1	false	correct	barrel	4	3	4	3	2968	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789179323	scripted	2	3	saxophone	0	exp	1	false	correct	saxophone	2	3	2	3	2403	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789193918	scripted	3	0	banana	0	exp	6	false	correct	banana	4	2	4	2	2642	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789229445	scripted	3	1	dollar	0	exp	6	false	correct	dollar	4	3	4	3	3088	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789247071	scripted	3	1	boardEraser	1	exp	6	true	incorrect	pencilEraser	2	3	1	2	3640	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789280804	scripted	3	2	boardEraser	0	exp	6	true	correct	boardEraser	2	3	2	3	3641	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789307952	scripted	3	3	feather	0	exp	6	false	correct	feather	2	4	2	4	4128	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789334124	scripted	4	0	scissors	0	base	3	false	correct	scissors	2	2	2	2	3139	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789346764	scripted	4	1	knife	0	base	3	false	correct	knife	3	4	3	4	2400	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789368040	scripted	4	2	barOfSoap	0	base	3	false	correct	barOfSoap	3	3	3	3	1607	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789384301	scripted	4	3	cassetteTape	0	base	3	true	correct	cassetteTape	3	2	3	2	2842	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789393165	scripted	5	0	carrot	0	exp	4	false	correct	carrot	2	3	2	3	1536	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789408429	scripted	5	0	mediumMeasuringCup	1	exp	4	true	incorrect	largeMeasuringCup	4	4	1	4	4329	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789440449	scripted	5	1	mediumMeasuringCup	0	exp	4	true	correct	mediumMeasuringCup	4	4	4	4	3130	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789468246	scripted	5	2	waterBottle	0	exp	4	false	correct	waterBottle	2	2	2	2	3593	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789493503	scripted	5	3	chair	0	exp	4	false	correct	chair	3	2	3	2	3641	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789508411	scripted	6	0	binoculars	0	base	2	false	correct	binoculars	2	4	2	4	3272	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789537086	scripted	6	1	wrench	0	base	2	false	correct	wrench	2	1	2	1	1519	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789557081	scripted	6	2	middleBlock	0	base	2	true	correct	middleBlock	3	3	3	3	3861	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789583677	scripted	6	3	coffeeMug	0	base	2	false	correct	coffeeMug	2	2	2	2	3313	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789607029	scripted	7	0	basketball	0	base	5	false	correct	basketball	3	2	3	2	2208	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789619790	scripted	7	1	roundBrush	0	base	5	true	correct	roundBrush	2	4	2	4	1649	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789647062	scripted	7	2	headphones	0	base	5	false	correct	headphones	3	3	3	3	2000	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789657135	scripted	7	3	book	0	base	5	false	correct	book	3	1	3	1	2177	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789670056	scripted	8	0	magnet	0	exp	7	false	correct	magnet	2	4	2	4	1383	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789696438	scripted	8	1	handcuffs	0	exp	7	false	correct	handcuffs	4	3	4	3	1752	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789727067	scripted	8	2	pandaToy	0	exp	7	false	correct	pandaToy	3	2	3	2	3182	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789744842	scripted	8	2	mediumCandle	1	exp	7	true	incorrect	smallCandle	1	2	1	4	3155	drop
planned_sample	5601-ef5309ee-189f-4d87-84a2-d1d52c65c529	1522789769502	scripted	8	3	mediumCandle	0	exp	7	true	correct	mediumCandle	1	2	1	2	2481	drop
