iterationName	gameid	trialNum	serverTime	targetDistance	distractorDistance	localTime	rawMouseX	rawMouseY	eventType
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248415	784	none	1522356246971	924	832	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248426	738	none	1522356246984	943	785	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248440	678	none	1522356246997	972	726	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248453	621	none	1522356247010	998	666	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248469	573	none	1522356247023	1017	609	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248480	532	none	1522356247037	1038	564	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248493	497	none	1522356247049	1057	526	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248506	457	none	1522356247063	1081	484	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248520	430	none	1522356247077	1098	453	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248533	406	none	1522356247089	1114	429	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248546	387	none	1522356247103	1128	408	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248562	371	none	1522356247117	1140	391	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248573	358	none	1522356247129	1150	379	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248591	344	none	1522356247143	1162	368	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248599	332	none	1522356247156	1173	358	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248614	311	none	1522356247169	1192	344	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248626	285	none	1522356247182	1216	327	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248640	258	none	1522356247197	1242	313	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248654	229	none	1522356247209	1271	294	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248666	203	none	1522356247223	1297	282	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248681	183	none	1522356247236	1318	273	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248693	166	none	1522356247250	1337	266	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248706	154	none	1522356247263	1351	261	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248722	141	none	1522356247277	1366	256	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248733	125	none	1522356247289	1382	256	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248747	110	none	1522356247304	1399	254	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248759	98	none	1522356247316	1413	254	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248773	83	none	1522356247330	1430	254	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248789	74	none	1522356247344	1441	254	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248801	68	none	1522356247357	1449	254	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356248813	65	none	1522356247370	1453	254	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249214	64	none	1522356247770	1453	256	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249227	63	none	1522356247784	1446	266	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249242	67	none	1522356247797	1437	275	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249254	74	none	1522356247810	1427	285	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249266	82	none	1522356247823	1418	296	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249280	92	none	1522356247837	1408	306	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249294	99	none	1522356247851	1401	313	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249306	108	none	1522356247863	1394	323	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249321	116	none	1522356247877	1387	327	updateMouse
planned_sample	9192-b28929bf-cd63-407c-93e3-c845d45bee0d	1	1522356249334	122	none	1522356247890	1382	332	updateMouse
