iterationName	gameid	trialNum	serverTime	targetDistance	distractorDistance	localTime	rawMouseX	rawMouseY	eventType
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969143	853	none	1578458965072	920	886	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969253	850	none	1578458965188	917	886	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969265	853	none	1578458965204	917	890	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969297	850	none	1578458965235	913	890	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969531	852	none	1578458965470	913	893	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969548	855	none	1578458965487	917	893	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969565	860	none	1578458965503	920	896	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969584	867	none	1578458965520	931	896	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969603	880	none	1578458965538	941	903	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969621	895	none	1578458965554	962	903	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969630	910	none	1578458965570	979	907	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969647	928	none	1578458965587	1000	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969664	952	none	1578458965603	1031	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969686	997	none	1578458965621	1089	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969707	1067	none	1578458965636	1176	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969714	1145	none	1578458965653	1269	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969735	1282	none	1578458965670	1428	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969748	1373	none	1578458965687	1531	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969771	1470	none	1578458965703	1638	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458969781	1569	none	1578458965720	1746	910	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458971100	1324	none	1578458967037	1563	700	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458971128	1087	none	1578458967054	1324	665	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458971132	920	none	1578458967071	1155	641	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458971162	747	none	1578458967087	986	596	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458971167	674	none	1578458967104	917	572	updateMouse
pilot1	9712-8a708f0c-038d-4870-9199-465d041c58d4	1	1578458971182	610	none	1578458967121	858	548	updateMouse
