iterationName	gameid	serverTime	condition	trialNum	instructionNum	targetObject	attemptNum	trialType	objectSet	critical	correct	attemptedObject	intendedX	intendedY	attemptedX	attemptedY	responseTime	eventType
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821626577	scripted	1	0	banana	0	exp	6	false	correct	banana	4	2	4	2	3934	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821653561	scripted	1	1	dollar	0	exp	6	false	correct	dollar	4	3	4	3	5194	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821673708	scripted	1	1	boardEraser	1	exp	6	true	incorrect	pencilEraser	2	3	1	2	4005	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821701400	scripted	1	2	boardEraser	0	exp	6	true	correct	boardEraser	2	3	2	3	2552	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821724420	scripted	1	3	feather	0	exp	6	false	correct	feather	2	4	2	4	3499	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821749333	scripted	2	0	airplane	0	base	1	false	correct	airplane	3	1	3	1	2605	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821771788	scripted	2	1	sunGlasses	0	base	1	true	correct	sunGlasses	4	4	4	4	4374	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821782594	scripted	2	2	barrel	0	base	1	false	correct	barrel	4	3	4	3	1520	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821810010	scripted	2	3	saxophone	0	base	1	false	correct	saxophone	2	3	2	3	2720	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821840395	scripted	3	0	carrot	0	base	4	false	correct	carrot	2	3	2	3	3076	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821856698	scripted	3	1	mediumMeasuringCup	0	base	4	true	correct	mediumMeasuringCup	4	4	4	4	2760	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821879976	scripted	3	2	waterBottle	0	base	4	false	correct	waterBottle	2	2	2	2	2606	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821901837	scripted	3	3	chair	0	base	4	false	correct	chair	3	2	3	2	2811	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821923689	scripted	4	0	basketball	0	exp	5	false	correct	basketball	3	2	3	2	2086	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821947661	scripted	4	1	roundBrush	0	exp	5	true	correct	roundBrush	2	4	2	4	8040	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821967496	scripted	4	2	headphones	0	exp	5	false	correct	headphones	3	3	3	3	2200	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821980003	scripted	4	3	book	0	exp	5	false	correct	book	3	1	3	1	3272	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522821993730	scripted	5	0	magnet	0	exp	7	false	correct	magnet	2	4	2	4	3329	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822012765	scripted	5	1	handcuffs	0	exp	7	false	correct	handcuffs	4	3	4	3	3937	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822034761	scripted	5	2	pandaToy	0	exp	7	false	correct	pandaToy	3	2	3	2	2444	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822055633	scripted	5	2	mediumCandle	1	exp	7	true	incorrect	smallCandle	1	2	1	4	3674	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822075722	scripted	5	3	mediumCandle	0	exp	7	true	correct	mediumCandle	1	2	1	2	2018	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822092106	scripted	6	0	binoculars	0	base	2	false	correct	binoculars	2	4	2	4	2833	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822120469	scripted	6	1	wrench	0	base	2	false	correct	wrench	2	1	2	1	5289	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822134258	scripted	6	2	middleBlock	0	base	2	true	correct	middleBlock	3	3	3	3	2617	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822154579	scripted	6	3	coffeeMug	0	base	2	false	correct	coffeeMug	2	2	2	2	3352	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822201274	scripted	7	0	scissors	0	base	3	false	correct	scissors	2	2	2	2	2067	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822211368	scripted	7	1	knife	0	base	3	false	correct	knife	3	4	3	4	2024	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822231339	scripted	7	2	barOfSoap	0	base	3	false	correct	barOfSoap	3	3	3	3	6522	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822243220	scripted	7	3	cassetteTape	0	base	3	true	correct	cassetteTape	3	2	3	2	3910	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822266215	scripted	8	0	comb	0	exp	8	false	correct	comb	1	1	1	1	3049	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822280258	scripted	8	0	computerMouse	1	exp	8	true	incorrect	toyMouse	4	2	1	2	2282	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822306394	scripted	8	0	computerMouse	2	exp	8	true	incorrect	toyMouse	4	2	1	2	5238	drop
planned_sample	6729-d84430fa-22ab-40e1-aa07-9784a3bc0722	1522822334740	scripted	8	1	computerMouse	0	exp	8	true	correct	computerMouse	4	2	4	2	2242	drop
