iterationName	gameid	trialNum	serverTime	targetDistance	distractorDistance	localTime	rawMouseX	rawMouseY	eventType
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455578748	843	none	1578455578556	902	895	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455578755	847	none	1578455578568	907	905	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455578771	849	none	1578455578585	927	927	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455578788	852	none	1578455578601	954	955	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455578807	848	none	1578455578618	989	977	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455578829	843	none	1578455578635	1021	994	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455578842	839	none	1578455578651	1043	1004	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455578855	837	none	1578455578668	1051	1007	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588539	834	none	1578455588352	1051	1004	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588555	817	none	1578455588368	1056	987	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588571	804	none	1578455588385	1058	972	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588589	789	none	1578455588401	1060	955	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588604	766	none	1578455588418	1063	930	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588621	746	none	1578455588435	1063	905	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588637	725	none	1578455588451	1065	880	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588655	709	none	1578455588468	1068	863	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588670	700	none	1578455588485	1068	851	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588687	696	none	1578455588501	1068	846	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588703	693	none	1578455588518	1068	843	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455588859	692	none	1578455588672	1068	841	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589201	689	none	1578455589012	1068	838	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589223	684	none	1578455589035	1070	833	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589237	683	none	1578455589051	1070	831	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589255	679	none	1578455589068	1073	828	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589272	677	none	1578455589085	1073	826	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589341	676	none	1578455589154	1075	826	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589355	673	none	1578455589168	1075	823	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589405	670	none	1578455589218	1075	818	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589429	668	none	1578455589244	1078	818	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589461	665	none	1578455589276	1078	814	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589511	663	none	1578455589324	1080	814	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455589555	661	none	1578455589368	1080	811	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455590065	665	none	1578455589880	1078	814	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455590087	675	none	1578455589901	1070	821	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455590105	680	none	1578455589918	1065	823	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455590124	683	none	1578455589935	1063	826	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455596080	681	none	1578455595894	1063	823	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455596105	674	none	1578455595918	1063	814	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455596154	679	none	1578455595968	1060	818	updateMouse
pilot1	7824-e65472a5-2028-4786-8306-032171c036f7	1	1578455596171	708	none	1578455595985	1043	841	updateMouse
