gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
4928-d,1453328381478,base,0,6,0,0,director,"Move the banana up one space"
4928-d,1453328403010,base,0,6,1,0,director,"Move the dollar bill one space to the right"
4928-d,1453328423298,base,1,6,2,0,director,"Move the eraser one space up"
4928-d,1453328438349,base,0,6,3,0,director,"Move the feather one space to the left"
4928-d,1453328450477,exp,0,4,0,0,director,"Move the carrot one space up"
4928-d,1453328467585,exp,1,4,1,0,director,"Move the Pyrex measuring cup one space down"
4928-d,1453328489518,exp,0,4,2,0,director,"Move the blue water bottle one space to the right"
4928-d,1453328506623,exp,0,4,3,0,director,"Move the chair one space to the left"
4928-d,1453328523231,base,0,8,0,0,director,"Move the comb one space up"
4928-d,1453328534697,base,1,8,1,0,director,"Move the mouse one space up"
4928-d,1453328557389,base,0,8,2,0,director,"Move the cast iron skillet one space up"
4928-d,1453328569146,base,0,8,3,0,director,"Move the piano one space to the left"
4928-d,1453328581734,base,0,5,0,0,director,"Move the basketball one space down"
4928-d,1453328593607,base,1,5,1,0,director,"Move the hairbrush one space to the left"
4928-d,1453328606143,base,0,5,2,0,director,"Move the headphones one space to the left"
4928-d,1453328619038,base,0,5,3,0,director,"Move the red book one space to the right"
4928-d,1453328630980,exp,0,7,0,0,director,"Move the red magnet one space down"
4928-d,1453328641259,exp,0,7,1,0,director,"Move the handcuffs one space down"
4928-d,1453328651307,exp,0,7,2,0,director,"Move the panda bear one space down"
4928-d,1453328670658,exp,1,7,3,0,director,"Move the red candle/holder one space down"
4928-d,1453328688989,base,0,1,0,0,director,"Move the airplane one space to the right"
4928-d,1453328702267,base,1,1,1,0,director,"Move the sunglasses one space to the right"
4928-d,1453328718315,base,0,1,2,0,director,"Move the barrel one space down "
4928-d,1453328729426,base,0,1,3,0,director,"Move the saxophone one space up"
4928-d,1453328742218,exp,0,2,0,0,director,"Move the binoculars one space to the righit"
4928-d,1453328754619,exp,0,2,1,0,director,"Move the wrench one space left"
4928-d,1453328773332,exp,1,2,2,0,director,"Move the block with the "B" one space left"
4928-d,1453328785679,exp,0,2,3,0,director,"Move the coffee cup one space right"
4928-d,1453328800698,exp,0,3,0,0,director,"Move the scissors one space right"
4928-d,1453328810939,exp,0,3,1,0,director,"Move the knife one space down"
4928-d,1453328823464,exp,0,3,2,0,director,"Move the bar of soap one space left"
4928-d,1453328835602,exp,1,3,3,0,director,"Move the cassette tape one space down"
